source	nominal	ja	note
**utiliser** (v.)	l'utilisation	使用	
**mourir** (v.)	la mort	死	
**mordre** (v.)	la morsure	噛み傷	
**élégant** (adj.)	l'élégance	優雅さ	
**solidaire** (adj.)	la solidarité	連帯	
**prudent** (adj.)	la prudence	慎重さ	
**reconstruire** (v.)	la reconstruction	再建	
**s'entendre** (v.)	l'entente	合意、協調	
**signer** (v.)	la signature	署名	
**soigner** (v.)	le soin	世話、手入れ	
**performer** (v.)	la performance	業績	
**possible** (adj.)	la possibilité	可能性	
**pratiquer** (v.)	la pratique	実践	
**valoir** (v.)	la valeur	価値	
**scier** (v.)	le sciage	のこぎり引き	
**tourner** (v.)	le tournage	撮影	
**bête** (adj.)	la bêtise	愚かさ	
**répéter** (v.)	la répétition	繰り返し	
**écrire** (v.)	l'écriture	書くこと、文字	
**pouvoir** (v.)	le pouvoir	権力、能力	
**dormir** (v.)	le sommeil	睡眠	
**ivre** (adj.)	l'ivresse	酔い	
**enseigner** (v.)	l'enseignement	教育	
**prouver** (v.)	la preuve	証拠	
**moderne** (adj.)	la modernité	近代性	
**nécessaire** (adj.)	la nécessité	必要性	
**supplier** (v.)	la supplication	懇願	
**rassembler** (v.)	le rassemblement	集会	
**diriger** (v.)	la direction	指揮、方向	
**sinistrer** (v.)	le sinistre	災害	
**solide** (adj.)	la solidité	堅固さ	
**s'extasier** (v.)	l'extase	有頂天	
**prescrire** (v.)	la prescription	処方箋、時効	
**révéler** (v.)	la révélation	啓示、暴露	
**connecter** (v.)	la connexion	接続	
**percevoir** (v.)	la perception	知覚	
**sourire** (v.)	le sourire	微笑み	
**se réjouir** (v.)	la réjouissance	喜び	
**brocher** (v.)	le brochage	製本（工程）	`la brochure`は成果物
**copier** (v.)	la copie	コピー	
**parcourir** (v.)	le parcours	道のり	
**valider** (v.)	la validation	検証	
**cruel** (adj.)	la cruauté	残酷さ	
**attacher** (v.)	l'attachement	愛着、取り付け	
**dire** (v.)	le dire	言うこと	
**oublier** (v.)	l'oubli	忘却	
**travailler** (v.)	le travail	仕事	
**éteindre** (v.)	l'extinction	消火、絶滅	
**visible** (adj.)	la visibilité	視認性	
**quantifier** (v.)	la quantification	定量化	
**produire** (v.)	la production	生産	
**reprendre** (v.)	la reprise	再開	
**accomplir** (v.)	l'accomplissement	成就、達成
**analyser** (v.)	l'analyse	分析	
**prédire** (v.)	la prédiction	予言	
**dépendre** (v.)	la dépendance	依存	
**fructueux** (adj.)	la fructuosité	実り多さ	
**introduire** (v.)	l'introduction	紹介、導入	
**surprendre** (v.)	la surprise	驚き	
**réguler** (v.)	la régulation	調整	
**moduler** (v.)	la modulation	調節	
**autoriser** (v.)	l'autorisation	許可	
**contribuer** (v.)	la contribution	貢献	
**quitter** (v.)	le départ	去ること	
**traverser** (v.)	la traversée	横断	
**rallumer** (v.)	le rallumage	再点火	
**grossier** (adj.)	la grossièreté	粗野さ	
**séparer** (v.)	la séparation	分離	
**intensifier** (v.)	l'intensification	強化	
**passer** (v.)	le passage	通過	
**difficile** (adj.)	la difficulté	難しさ	
**plagier** (v.)	le plagiat	盗作	
**retourner** (v.)	le retour	帰還	
**plonger** (v.)	la plongée	ダイビング	
**se tromper** (v.)	l'erreur	間違い	
**honnête** (adj.)	l'honnêteté	誠実さ	
**songer** (v.)	le songe	夢、夢想	
**mettre** (v.)	la mise	置くこと	
**stérile** (adj.)	la stérilité	不妊	
**annexer** (v.)	l'annexion	併合	
**découvrir** (v.)	la découverte	発見	
**perfectionner** (v.)	la perfection	完璧	
**patiner** (v.)	le patinage	スケート	
**inviter** (v.)	l'invitation	招待	
**s'envoler** (v.)	l'envol	飛び立つこと	
**marquer** (v.)	la marque	印、ブランド	
**ranger** (v.)	le rangement	整理
**précieux** (adj.)	la préciosité	高価さ	
**timide** (adj.)	la timidité	内気さ	
**regarder** (v.)	le regard	視線	
**pénible** (adj.)	la pénibilité	骨の折れること	
**polluer** (v.)	la pollution	汚染	
**sublimer** (v.)	la sublimation	昇華	
**développer** (v.)	le développement	開発、発展	
**respirer** (v.)	la respiration	呼吸	
**manipuler** (v.)	la manipulation	操作	
**prévenir** (v.)	la prévention	予防	
**large** (adj.)	la largeur	幅	
