source	nominal	ja	note
**prêter** (v.)	le prêt	貸付	
**refuser** (v.)	le refus	拒否	
**renforcer** (v.)	le renforcement	強化	
**conduire** (v.)	la conduite	運転、行動	
**se marier** (v.)	le mariage	結婚	
**succéder** (v.)	la succession	継承	
**limiter** (v.)	la limitation	制限	
**éloigner** (v.)	l'éloignement	遠ざけること	
**inventer** (v.)	l'invention	発明	
**marcher** (v.)	la marche	歩行	
**différent** (adj.)	la différence	違い	
**déclarer** (v.)	la déclaration	宣言	
**retenir** (v.)	la retenue	控除、自制	
**sombre** (adj.)	l'obscurité	暗さ	`la noirceur`より一般的
**emprunter** (v.)	l'emprunt	借用	
**persuader** (v.)	la persuasion	説得	
**rebondir** (v.)	le rebondissement	跳ね返り	
**vivre** (v.)	la vie	人生	
**maîtriser** (v.)	la maîtrise	制御、習熟	
**tenir** (v.)	la tenue	服装、態度	
**déplacer** (v.)	le déplacement	移動	
**se dépêcher** (v.)	la hâte	急ぎ	
**numéroter** (v.)	la numérotation	番号付け	
**labourer** (v.)	le labour	耕作	
**affiner** (v.)	l'affinage	精錬、洗練	
**effrayer** (v.)	l'effroi	恐怖	
**se trémousser** (v.)	le frétillement	体を揺らすこと	
**jeune** (adj.)	la jeunesse	若さ	
**toucher** (v.)	le toucher	触感	
**acheter** (v.)	l'achat	購入	
**inventorier** (v.)	l'inventaire	目録	
**agresser** (v.)	l'agression	攻撃、侵略	
**réfléchir** (v.)	la réflexion	熟考、反射	
**provoquer** (v.)	la provocation	挑発	
**se parler** (v.)	la conversation	会話	
**former** (v.)	la formation	形成、研修	
**interdire** (v.)	l'interdiction	禁止	
**se plaindre** (v.)	la plainte	不平、苦情	
**ignorer** (v.)	l'ignorance	無知	
**disparaître** (v.)	la disparition	消失	
**décrire** (v.)	la description	描写	
**représenter** (v.)	la représentation	代表、上演	
**loyal** (adj.)	la loyauté	忠誠	
**innocent** (adj.)	l'innocence	無邪気、無罪	
**convaincre** (v.)	la conviction	確信	
**modifier** (v.)	la modification	変更	
**égal** (adj.)	l'égalité	平等	
**menacer** (v.)	la menace	脅し	
**audible** (adj.)	l'audibilité	可聴性	
**porter** (v.)	le port	運搬、携行	`le port`（港）とは別義
**explorer** (v.)	l'exploration	探検	
**indulgent** (adj.)	l'indulgence	寛容	
**adorer** (v.)	l'adoration	崇拝、熱愛	
**se pacser** (v.)	le pacs	パックス契約	
**laid** (adj.)	la laideur	醜さ	
**gai** (adj.)	la gaieté	陽気さ	
**pauvre** (adj.)	la pauvreté	貧しさ	
**utile** (adj.)	l'utilité	有用性	
**enlever** (v.)	l'enlèvement	誘拐、除去	
**plier** (v.)	le pliage	折り畳み	
**soutenir** (v.)	le soutien	支援	
**vendre** (v.)	la vente	販売	
**composer** (v.)	la composition	構成、作曲	
**embarquer** (v.)	l'embarquement	乗船	
**interrompre** (v.)	l'interruption	中断	
**témoigner** (v.)	le témoignage	証言	
**reconnaître** (v.)	la reconnaissance	認識	
**tendre** (v.)	la tension	緊張	
**préciser** (v.)	la précision	正確さ	
**peser** (v.)	la pesée	計量	
**accéder** (v.)	l'accession	到達、就任	
**violent** (adj.)	la violence	暴力	
**armer** (v.)	l'armement	武装	`l'armée`（軍隊）ではない
**opérer** (v.)	l'opération	手術、操作	
**regretter** (v.)	le regret	後悔	
**effacer** (v.)	l'effacement	消去	
**admirer** (v.)	l'admiration	感嘆、賞賛	
**arrogant** (adj.)	l'arrogance	傲慢さ	
**se vanter** (v.)	la vantardise	自慢	
**tapisser** (v.)	la tapisserie	壁紙、タペストリー	
**absent** (adj.)	l'absence	不在、欠席	
**précipiter** (v.)	la précipitation	性急さ、早まった行為	
**participer** (v.)	la participation	参加	
**juger** (v.)	le jugement	判断	
**tendre** (adj.)	la tendresse	優しさ	
**informer** (v.)	l'information	情報	
**réagir** (v.)	la réaction	反応	
**initier** (v.)	l'initiation	入門、手引き	
**veiller** (v.)	la veille	監視、前夜	
**exprimer** (v.)	l'expression	表現	
**s'aider** (v.)	l'aide	助け合い、援助	
**ressembler** (v.)	la ressemblance	類似	
**s'habiller** (v.)	l'habillement	服装	
**assister** (v.)	l'assistance	出席、支援	
**mobile** (adj.)	la mobilité	可動性	
**faible** (adj.)	la faiblesse	弱さ	
**ancien** (adj.)	l'ancienneté	古さ	
**distinguer** (v.)	la distinction	区別	
**fier** (adj.)	la fierté	誇り	
