source	nominal	ja	note
**s'inquiéter** (v.)	l'inquiétude	心配	
**payer** (v.)	le paiement	支払い	
**nouveau** (adj.)	la nouveauté	新しさ	
**sévère** (adj.)	la sévérité	厳しさ	
**se rassasier** (v.)	la satiété	満腹	
**démontrer** (v.)	la démonstration	証明	
**s'avilir** (v.)	l'avilissement	堕落	
**prolonger** (v.)	la prolongation	延長	
**se dédire** (v.)	la rétractation	撤回、取り消し	
**venir** (v.)	la venue	来訪	
**se réfugier** (v.)	le refuge	避難	
**baptiser** (v.)	le baptême	洗礼	
**adhérer** (v.)	l'adhérence	密着、支持	
**disposer** (v.)	la disposition	配置	
**apaiser** (v.)	l'apaisement	平和、鎮静	
**se radicaliser** (v.)	la radicalisation	過激化	
**mystérieux** (adj.)	le mystère	神秘	
**s'endormir** (v.)	l'endormissement	寝入ること	
**examiner** (v.)	l'examen	試験、検査	
**assurer** (v.)	l'assurance	保証、保険	
**localiser** (v.)	la localisation	位置特定	
**intégrer** (v.)	l'intégration	統合	
**frileux** (adj.)	la frilosité	寒がり	
**presser** (v.)	la pression	厚力	
**prendre** (v.)	la prise	取ること	
**vulgariser** (v.)	la vulgarisation	普及	
**humble** (adj.)	l'humilité	謙虚さ
**dîner** (v.)	le dîner	夕食	
**se retrouver** (v.)	les retrouvailles	再会	
**orienter** (v.)	l'orientation	方向付け	
**proposer** (v.)	la proposition	提案	
**considérer** (v.)	la considération	考慮	
**rouge** (adj.)	la rougeur	赤み	
**nommer** (v.)	la nomination	任命	
**absorber** (v.)	l'absorption	吸収	
**tousser** (v.)	la toux	咳	
**rêver** (v.)	le rêve	夢	
**céder** (v.)	la cession	譲渡	
**essayer** (v.)	l'essai	試み	
**s'amouracher** (v.)	l'amourachement	惚れ込むこと	
**rechercher** (v.)	la recherche	研究	
**persister** (v.)	la persistance	持続	
**se prélasser** (v.)	la détente	くつろぎ	
**moderniser** (v.)	la modernisation	近代化	
**comparer** (v.)	la comparaison	比較	
**louer** (v.)	la location	賃貸	
**rire** (v.)	le rire	笑い	
**malade** (adj.)	la maladie	病気	
**fixer** (v.)	la fixation	固定	
**adapter** (v.)	l'adaptation	適応、順応	
**jouer** (v.)	le jeu	遊び、ゲーム	
**situer** (v.)	la situation	状況	
**nettoyer** (v.)	le nettoyage	掃除	
**illustrer** (v.)	l'illustration	挿絵	
**éclore** (v.)	l'éclosion	開花、孵化	
**vouloir** (v.)	la volonté	意志	
**tenter** (v.)	la tentative	試み	
**pur** (adj.)	la pureté	純粋さ	
**verser** (v.)	le versement	支払い	
**réel** (adj.)	la réalité	現実	
**fléchir** (v.)	la flexion	屈曲	
**rougir** (v.)	le rougissement	赤面	
**réviser** (v.)	la révision	改訂	
**engager** (v.)	l'engagement	約束、関与	
**propre** (adj.)	la propreté	清潔さ	
**réclamer** (v.)	la réclamation	要求、苦情	
**augmenter** (v.)	l'augmentation	増加	
**prononcer** (v.)	la prononciation	発音	
**rêvasser** (v.)	la rêvasserie	空想	
**frivole** (adj.)	la frivolité	軽薄さ	
**affoler** (v.)	l'affolement	動揺、パニック	
**joindre** (v.)	la jonction	接合	
**présenter** (v.)	la présentation	発表	
**divorcer** (v.)	le divorce	離婚	
**importer** (v.)	l'importation	輸入	
**s'ennuyer** (v.)	l'ennui	退屈	
**nerveux** (adj.)	la nervosité	神経質	
**partir** (v.)	le départ	出発	
**racheter** (v.)	le rachat	買い戻し	
**lutter** (v.)	la lutte	闘争	
**isoler** (v.)	l'isolement	隔離、孤立	
**trembler** (v.)	le tremblement	震え	
**se défendre** (v.)	la défense	防御	
**trier** (v.)	le tri	選別	
**condamner** (v.)	la condamnation	有罪判決	
**motiver** (v.)	la motivation	動機付け	
**clair** (adj.)	la clarté	明瞭さ	
**présent** (adj.)	la présence	存在	
**lever** (v.)	la levée	持ち上げること	
**s'évertuer** (v.)	l'effort	努力	
**prier** (v.)	la prière	祈り	
**curieux** (adj.)	la curiosité	好奇心	
**soupçonner** (v.)	le soupçon	疑い	
**affluer** (v.)	l'affluence	殺到、混雑	
**bon** (adj.)	la bonté	善良さ	
**consommer** (v.)	la consommation	消費	
**identifier** (v.)	l'identification	識別	
**plaire** (v.)	le plaisir	喜び	
**se congratuler** (v.)	la congratulation	祝賀	
