source	nominal	ja	note
**distribuer** (v.)	la distribution	配布	
**rattraper** (v.)	le rattrapage	追いつき	
**offrir** (v.)	l'offre	提供	
**se disputer** (v.)	la dispute	口論	
**lâche** (adj.)	la lâcheté	臆病さ	
**s'évanouir** (v.)	l'évanouissement	失神	
**fermer** (v.)	la fermeture	閉鎖	
**s'inscrire** (v.)	l'inscription	登録	
**interroger** (v.)	l'interrogation	尋問、疑問	
**mentionner** (v.)	la mention	言及	
**lent** (adj.)	la lenteur	遅さ	
**envoyer** (v.)	l'envoi	発送	
**capable** (adj.)	la capacité	能力	
**sincère** (adj.)	la sincérité	誠実さ	
**sagace** (adj.)	la sagacité	賢明さ	
**pousser** (v.)	la poussée	押すこと、推進
**suggérer** (v.)	la suggestion	提案	
**rater** (v.)	le ratage	失敗	
**migrer** (v.)	la migration	移住	
**long** (adj.)	la longueur	長さ	
**se réveiller** (v.)	le réveil	目覚め	
**inspirer** (v.)	l'inspiration	霊感、ひらめき	
**inhaler** (v.)	l'inhalation	吸入	
**libre** (adj.)	la liberté	自由	
**protéger** (v.)	la protection	保護	
**atteindre** (v.)	l'atteinte	侵害、達成	
**fragile** (adj.)	la fragilité	脆さ	
**exploser** (v.)	l'explosion	爆発	
**se délecter** (v.)	la délectation	喜び	
**se répartir** (v.)	la répartition	分配
**contenir** (v.)	le contenu	内容	
**embrasser** (v.)	l'embrassade	抱擁	
**placer** (v.)	le placement	配置	
**revenir** (v.)	le retour	戻ること	
**punir** (v.)	la punition	罰	
**rédiger** (v.)	la rédaction	作文、編集	
**déguster** (v.)	la dégustation	試食、試飲
**gagner** (v.)	le gain	利益	
**sauter** (v.)	le saut	跳躍	
**tomber** (v.)	la chute	落下	
**simple** (adj.)	la simplicité	単純さ	
**uni** (adj.)	l'unité	統一	
**méchant** (adj.)	la méchanceté	意地悪さ	
**calculer** (v.)	le calcul	計算	
**dicter** (v.)	la dictée	書き取り	
**malheureux** (adj.)	le malheur	不幸	
**communiquer** (v.)	la communication	伝達	
**reproduire** (v.)	la reproduction	複製	
**accuser** (v.)	l'accusation	告発、非難	
**se baigner** (v.)	la baignade	水浴び	
**survivre** (v.)	la survie	生存	
**régner** (v.)	le règne	統治	
**élargir** (v.)	l'élargissement	拡大	
**garder** (v.)	la garde	警備、保管	
**urgent** (adj.)	l'urgence	緊急性	
**alterner** (v.)	l'alternance	交替	
**se moquer de** (v.)	la moquerie	からかい	
**purger** (v.)	la purge	浄化	
**calomnier** (v.)	la calomnie	中傷	
**trouver** (v.)	la trouvaille	発見物
**s'évader** (v.)	l'évasion	脱走	
**attirer** (v.)	l'attraction	魅力、引力	
**demander** (v.)	la demande	要求	
**vacciner** (v.)	la vaccination	予防接種	
**lourd** (adj.)	la lourdeur	重さ	
**s'abstenir** (v.)	l'abstention	棄権、自制	
**facile** (adj.)	la facilité	容易さ	
**célèbre** (adj.)	la célébrité	名声	
**promettre** (v.)	la promesse	約束	
**voyager** (v.)	le voyage	旅行	
**se réconcilier** (v.)	la réconciliation	和解	
**solliciter** (v.)	la sollicitation	懇願	
**cuire** (v.)	la cuisson	調理	
**jeter** (v.)	le jet	投げること	
**espérer** (v.)	l'espérance	希望	
**fou** (adj.)	la folie	狂気	
**viser** (v.)	la visée	狙い	
**identique** (adj.)	l'identité	同一性	
**définir** (v.)	la définition	定義	
**véridique** (adj.)	la véracité	真実性	
**avancer** (v.)	l'avancée	前進	
**jaloux** (adj.)	la jalousie	嫉妬	
**allumer** (v.)	l'allumage	点火	
**blanc** (adj.)	la blancheur	白さ	
**sobre** (adj.)	la sobriété	質素	
**noter** (v.)	la notation	採点、記譜	
**approcher** (v.)	l'approche	接近、アプローチ
**boire** (v.)	la boisson	飲み物	
**reculer** (v.)	le recul	後退	
**trahir** (v.)	la trahison	裏切り	
**frais** (adj.)	la fraîcheur	新鮮さ	
**s'étirer** (v.)	l'étirement	ストレッチ
