source	nominal	ja	note
**encourager** (v.)	l'encouragement	励まし	
**décider** (v.)	la décision	決定	
**signaler** (v.)	le signalement	通報	
**se concerter** (v.)	la concertation	協議	
**descendre** (v.)	la descente	下降	
**financer** (v.)	le financement	資金調達	
**obéir** (v.)	l'obéissance	服従	
**progresser** (v.)	la progression	進行	
**envier** (v.)	l'envie	羨望、欲求	
**conclure** (v.)	la conclusion	結論	
**mortel** (adj.)	la mortalité	死亡率	
**lancer** (v.)	le lancement	打ち上げ、開始	
**inclure** (v.)	l'inclusion	包括	
**instruire** (v.)	l'instruction	教育、指示	
**organiser** (v.)	l'organisation	組織	
**danser** (v.)	la danse	ダンス、踊り	
**s'emparer de** (v.)	l'emprise	支配、影響	
**équitable** (adj.)	l'équité	公平さ	
**pleurer** (v.)	les pleurs	涙	
**fort** (adj.)	la force	強さ	
**patient** (adj.)	la patience	忍耐	
**stable** (adj.)	la stabilité	安定性	
**déduire** (v.)	la déduction	控除	
**oser** (v.)	l'audace	大胆さ	
**se rétracter** (v.)	la rétractation	撤回	
**réserver** (v.)	la réservation	予約	
**exister** (v.)	l'existence	存在	
**surveiller** (v.)	la surveillance	監視	
**rencontrer** (v.)	la rencontre	出会い
**se reposer** (v.)	le repos	休息	
**net** (adj.)	la netteté	鮮明さ	
**varier** (v.)	la variation	変化	
**réchauffer** (v.)	le réchauffement	加熱、温暖化	
**horrible** (adj.)	l'horreur	恐ろしさ	
**poli** (adj.)	la politesse	礼儀正しさ	
**rapide** (adj.)	la rapidité	速さ	
**contrôler** (v.)	le contrôle	制御、管理	
**féroce** (adj.)	la férocité	獰猛さ	
**somnoler** (v.)	la somnolence	眠気	
**mou** (adj.)	la mollesse	柔らかさ	
**fertile** (adj.)	la fertilité	肥沃さ	
**retarder** (v.)	le retard	遅延	
**juste** (adj.)	la justice	正義	
**parler** (v.)	la parole	言葉	
**subventionner** (v.)	la subvention	助成金	
**mesurer** (v.)	la mesure	測定	
**se gausser de** (v.)	la moquerie	あざけり	
**influer** (v.)	l'influence	影響	
**multiplier** (v.)	la multiplication	乗算、増加	
**négliger** (v.)	la négligence	怠慢	
**exporter** (v.)	l'exportation	輸出	
**tromper** (v.)	la tromperie	詐欺	
**ruser** (v.)	la ruse	策略	
**se promener** (v.)	la promenade	散歩
**se rebeller** (v.)	la rébellion	反乱	
**visiter** (v.)	la visite	訪問	
**transmettre** (v.)	la transmission	伝達	
**se suicider** (v.)	le suicide	自殺	
**silencieux** (adj.)	le silence	静けさ	
**réussir** (v.)	la réussite	成功	
**chasser** (v.)	la chasse	狩猟	
**flâner** (v.)	la flânerie	散策	
**diviser** (v.)	la division	分割	
**régler** (v.)	le règlement	規則、支払い	
**s'amuser** (v.)	l'amusement	楽しみ、娯楽	
**reprocher** (v.)	le reproche	非難	
**éduquer** (v.)	l'éducation	教育	
**simplifier** (v.)	la simplification	単純化	
**serrer** (v.)	le serrage	締め付け	
**transporter** (v.)	le transport	輸送	
**comprendre** (v.)	la compréhension	理解	
**rigoureux** (adj.)	la rigueur	厳格さ	
**finir** (v.)	la fin	終わり	
**saisir** (v.)	la saisie	押収	
**se presser** (v.)	la hâte	急ぐこと	
**retirer** (v.)	le retrait	撤回	
**souffrir** (v.)	la souffrance	苦しみ	
**établir** (v.)	l'établissement	設立、施設	
**nourrir** (v.)	la nourriture	食物	
**omettre** (v.)	l'omission	省略	
**servir** (v.)	le service	サービス	
**s'excuser** (v.)	l'excuse	言い訳、謝罪	
**accepter** (v.)	l'acceptation	受諾、受容	
**subtil** (adj.)	la subtilité	微妙さ	
**respecter** (v.)	le respect	尊敬	
**concorder** (v.)	la concordance	一致	
**sain** (adj.)	la santé	健康	
**pâle** (adj.)	la pâleur	青白さ	
**rayer** (v.)	la rayure	擦り傷	
**arriver** (v.)	l'arrivée	到着	
**s'amender** (v.)	l'amendement	改善、修正	
**épais** (adj.)	l'épaisseur	厚さ	
**délicat** (adj.)	la délicatesse	繊細さ	
**ajouter** (v.)	l'ajout	追加	
**voler** (v.)	le vol	盗み、飛行	
**familier** (adj.)	la familiarité	親しみ	
**se quereller** (v.)	la querelle	口論	
**se mutiner** (v.)	la mutinerie	反乱	
